[2025-07-07 12:17:55 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:17:57 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/ballfangzaeune-sportplatzsicherung/ has been purged, triggered by action: save_post 
[2025-07-07 12:17:57 : INFO] - Cache for archive page associated with post_type: products and Title: "Ballfangzäune Sportplatzsicherung" has been purged, triggered by action: save_post 
[2025-07-07 12:18:11 : INFO] - Cache for URL: https://www.diezaunprofis.at/?post_type=products&p=2027 has been purged, triggered by action: save_post 
[2025-07-07 12:18:11 : INFO] - Cache for archive page associated with post_type: products and Title: "Automatisch gespeicherter Entwurf" has been purged, triggered by action: save_post 
[2025-07-07 12:18:13 : INFO] - Cache for URL: https://www.diezaunprofis.at/?post_type=products&p=2028 has been purged, triggered by action: save_post 
[2025-07-07 12:18:13 : INFO] - Cache for archive page associated with post_type: products and Title: "Automatisch gespeicherter Entwurf" has been purged, triggered by action: save_post 
[2025-07-07 12:18:58 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:18:58 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:18:59 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:18:59 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:19:22 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:19:22 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:19:23 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:19:23 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:19:41 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:19:41 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:19:42 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:19:42 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:20:01 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:20:01 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:20:02 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:20:02 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:20:51 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:20:51 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:20:52 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:20:52 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:21:44 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:21:44 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:21:45 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:21:45 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:23:28 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 12:23:28 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 12:23:29 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 12:23:29 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 12:28:52 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:28:52 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:28:54 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:28:54 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:31:11 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 12:31:11 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 12:31:12 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 12:31:12 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 12:36:34 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:36:34 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:36:35 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:36:35 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:37:07 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:07 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:37:09 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:09 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:37:48 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:48 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
